M49 code,Country or Area,ISO code,Level,1st parent code,1st parent name,2nd parent code,2nd parent name,3rd parent code,3rd parent name
001,World,,1,,,,,,
002,Africa,,2,001,World,,,,
015,Northern Africa,,3,002,Africa,001,World,,
012,Algeria,DZA,4,015,Northern Africa,002,Africa,001,World
818,Egypt,EGY,4,015,Northern Africa,002,Africa,001,World
434,Libya,LBY,4,015,Northern Africa,002,Africa,001,World
504,Morocco,MAR,4,015,Northern Africa,002,Africa,001,World
729,Sudan,SDN,4,015,Northern Africa,002,Africa,001,World
788,Tunisia,TUN,4,015,Northern Africa,002,Africa,001,World
732,Western Sahara,ESH,4,015,Northern Africa,002,Africa,001,World
202,Sub-Saharan Africa,,3,002,Africa,001,World,,
014,Eastern Africa,,4,202,Sub-Saharan Africa,002,Africa,001,World
086,British Indian Ocean Territory,IOT,4,202,Sub-Saharan Africa,002,Africa,001,World
108,Burundi,BDI,4,202,Sub-Saharan Africa,002,Africa,001,World
174,Comoros,COM,4,202,Sub-Saharan Africa,002,Africa,001,World
262,Djibouti,DJI,4,202,Sub-Saharan Africa,002,Africa,001,World
232,Eritrea,ERI,4,202,Sub-Saharan Africa,002,Africa,001,World
231,Ethiopia,ETH,4,202,Sub-Saharan Africa,002,Africa,001,World
260,French Southern Territories,ATF,4,202,Sub-Saharan Africa,002,Africa,001,World
404,Kenya,KEN,4,202,Sub-Saharan Africa,002,Africa,001,World
450,Madagascar,MDG,4,202,Sub-Saharan Africa,002,Africa,001,World
454,Malawi,MWI,4,202,Sub-Saharan Africa,002,Africa,001,World
480,Mauritius,MUS,4,202,Sub-Saharan Africa,002,Africa,001,World
175,Mayotte,MYT,4,202,Sub-Saharan Africa,002,Africa,001,World
508,Mozambique,MOZ,4,202,Sub-Saharan Africa,002,Africa,001,World
638,Réunion,REU,4,202,Sub-Saharan Africa,002,Africa,001,World
646,Rwanda,RWA,4,202,Sub-Saharan Africa,002,Africa,001,World
690,Seychelles,SYC,4,202,Sub-Saharan Africa,002,Africa,001,World
706,Somalia,SOM,4,202,Sub-Saharan Africa,002,Africa,001,World
728,South Sudan,SSD,4,202,Sub-Saharan Africa,002,Africa,001,World
800,Uganda,UGA,4,202,Sub-Saharan Africa,002,Africa,001,World
834,Tanzania,TZA,4,202,Sub-Saharan Africa,002,Africa,001,World
894,Zambia,ZMB,4,202,Sub-Saharan Africa,002,Africa,001,World
716,Zimbabwe,ZWE,4,202,Sub-Saharan Africa,002,Africa,001,World
017,Middle Africa,,4,202,Sub-Saharan Africa,002,Africa,001,World
024,Angola,AGO,4,202,Sub-Saharan Africa,002,Africa,001,World
120,Cameroon,CMR,4,202,Sub-Saharan Africa,002,Africa,001,World
140,Central African Republic,CAF,4,202,Sub-Saharan Africa,002,Africa,001,World
148,Chad,TCD,4,202,Sub-Saharan Africa,002,Africa,001,World
178,Congo,COG,4,202,Sub-Saharan Africa,002,Africa,001,World
180,Democratic Republic of Congo,COD,4,202,Sub-Saharan Africa,002,Africa,001,World
226,Equatorial Guinea,GNQ,4,202,Sub-Saharan Africa,002,Africa,001,World
