,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
0,ABW,Aruba,2020-03-13,2,2,0,0,18.733,18.733,0.0,0.0,,,,,
1,ABW,Aruba,2020-03-20,4,2,0,0,37.465,18.733,0.0,0.0,,,,,
2,ABW,Aruba,2020-03-24,12,8,0,0,112.395,74.93,0.0,0.0,,,,,
3,ABW,Aruba,2020-03-25,17,5,0,0,159.227,46.831,0.0,0.0,,,,,
4,ABW,Aruba,2020-03-26,19,2,0,0,177.959,18.733,0.0,0.0,,,,,
5,ABW,Aruba,2020-03-27,28,9,0,0,262.256,84.296,0.0,0.0,,,,,
6,ABW,Aruba,2020-03-28,28,0,0,0,262.256,0.0,0.0,0.0,,,,,
7,ABW,Aruba,2020-03-29,28,0,0,0,262.256,0.0,0.0,0.0,,,,,
8,ABW,Aruba,2020-03-30,50,22,0,0,468.314,206.058,0.0,0.0,,,,,
9,ABW,Aruba,2020-04-01,55,5,0,0,515.145,46.831,0.0,0.0,,,,,
10,ABW,Aruba,2020-04-02,55,0,0,0,515.145,0.0,0.0,0.0,,,,,
11,ABW,Aruba,2020-04-03,60,5,0,0,561.977,46.831,0.0,0.0,,,,,
12,ABW,Aruba,2020-04-04,62,2,0,0,580.7090000000001,18.733,0.0,0.0,,,,,
13,ABW,Aruba,2020-04-05,64,2,0,0,599.442,18.733,0.0,0.0,,,,,
14,ABW,Aruba,2020-04-06,64,0,0,0,599.442,0.0,0.0,0.0,,,,,
15,ABW,Aruba,2020-04-07,71,7,0,0,665.0060000000001,65.564,0.0,0.0,,,,,
16,ABW,Aruba,2020-04-08,74,3,0,0,693.105,28.099,0.0,0.0,,,,,
17,ABW,Aruba,2020-04-09,77,3,0,0,721.203,28.099,0.0,0.0,,,,,
18,ABW,Aruba,2020-04-10,82,5,0,0,768.035,46.831,0.0,0.0,,,,,
19,ABW,Aruba,2020-04-11,86,4,0,0,805.5,37.465,0.0,0.0,,,,,
20,ABW,Aruba,2020-04-12,92,6,0,0,861.698,56.198,0.0,0.0,,,,,
21,ABW,Aruba,2020-04-13,92,0,0,0,861.698,0.0,0.0,0.0,,,,,
22,ABW,Aruba,2020-04-14,92,0,0,0,861.698,0.0,0.0,0.0,,,,,
23,ABW,Aruba,2020-04-15,92,0,0,0,861.698,0.0,0.0,0.0,,,,,
24,ABW,Aruba,2020-04-16,93,1,1,1,871.064,9.366,9.366,9.366,,,,,
25,ABW,Aruba,2020-04-17,95,2,1,0,889.796,18.733,9.366,0.0,,,,,
26,ABW,Aruba,2020-04-18,96,1,2,1,899.163,9.366,18.733,9.366,,,,,
27,ABW,Aruba,2020-04-19,96,0,2,0,899.163,0.0,18.733,0.0,,,,,
28,ABW,Aruba,2020-04-20,97,1,2,0,908.529,9.366,18.733,0.0,,,,,
29,ABW,Aruba,2020-04-21,97,0,2,0,908.529,0.0,18.733,0.0,,,,,
30,ABW,Aruba,2020-04-22,97,0,2,0,908.529,0.0,18.733,0.0,,,,,
31,ABW,Aruba,2020-04-23,100,3,2,0,936.628,28.099,18.733,0.0,,,,,
32,ABW,Aruba,2020-04-24,100,0,2,0,936.628,0.0,18.733,0.0,,,,,
33,ABW,Aruba,2020-04-25,100,0,2,0,936.628,0.0,18.733,0.0,,,,,
34,ABW,Aruba,2020-04-26,100,0,2,0,936.628,0.0,18.733,0.0,,,,,
35,ABW,Aruba,2020-04-27,100,0,2,0,936.628,0.0,18.733,0.0,,,,,
36,ABW,Aruba,2020-04-28,100,0,2,0,936.628,0.0,18.733,0.0,,,,,
37,ABW,Aruba,2020-04-29,100,0,2,0,936.628,0.0,18.733,0.0,,,,,
38,ABW,Aruba,2020-04-30,100,0,2,0,936.628,0.0,18.733,0.0,,,,,
39,ABW,Aruba,2020-05-01,100,0,2,0,936.628,0.0,18.733,0.0,,,,,
40,AFG,Afghanistan,2019-12-31,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
41,AFG,Afghanistan,2020-01-01,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
42,AFG,Afghanistan,2020-01-02,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
43,AFG,Afghanistan,2020-01-03,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
44,AFG,Afghanistan,2020-01-04,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
45,AFG,Afghanistan,2020-01-05,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
46,AFG,Afghanistan,2020-01-06,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
47,AFG,Afghanistan,2020-01-07,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
48,AFG,Afghanistan,2020-01-08,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
49,AFG,Afghanistan,2020-01-09,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
50,AFG,Afghanistan,2020-01-10,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
51,AFG,Afghanistan,2020-01-11,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
52,AFG,Afghanistan,2020-01-12,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
53,AFG,Afghanistan,2020-01-13,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
54,AFG,Afghanistan,2020-01-14,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
55,AFG,Afghanistan,2020-01-15,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
56,AFG,Afghanistan,2020-01-16,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
57,AFG,Afghanistan,2020-01-17,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
58,AFG,Afghanistan,2020-01-18,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
59,AFG,Afghanistan,2020-01-19,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
60,AFG,Afghanistan,2020-01-20,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
61,AFG,Afghanistan,2020-01-21,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
62,AFG,Afghanistan,2020-01-22,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
63,AFG,Afghanistan,2020-01-23,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
64,AFG,Afghanistan,2020-01-24,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
65,AFG,Afghanistan,2020-01-25,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
66,AFG,Afghanistan,2020-01-26,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
67,AFG,Afghanistan,2020-01-27,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
68,AFG,Afghanistan,2020-01-28,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
69,AFG,Afghanistan,2020-01-29,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
70,AFG,Afghanistan,2020-01-30,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
71,AFG,Afghanistan,2020-01-31,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
72,AFG,Afghanistan,2020-02-01,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
73,AFG,Afghanistan,2020-02-02,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
74,AFG,Afghanistan,2020-02-03,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
75,AFG,Afghanistan,2020-02-04,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
76,AFG,Afghanistan,2020-02-05,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
77,AFG,Afghanistan,2020-02-06,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
78,AFG,Afghanistan,2020-02-07,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
79,AFG,Afghanistan,2020-02-08,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
80,AFG,Afghanistan,2020-02-09,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
